Title,Abstract,University,Country,Index_authors,Keywords,PublicationName,Publisher,Subject_Area,Subject_Area_CodeType,Citation_Type,Citation_Number,Reference_number,Year
Social R&D in Four Portraits: An Exploratory Study of the Emerging Field of Research and Development in Canada’s Social Purpose Organizations Quatre portraits de R et D sociale : une étude exploratoire du champ émergeant de la recherche et développement sociale dans le secteur à but non lucratif au Canada,"© 2021, University of Alberta Library. All rights reserved.Since 2015, Canadian practitioners and funders have been adapting research and development (R&D) principles and practices to the context of social purpose organizations (SPOs) to increase the trans-sectoral capacity to generate social innovations. As a result, Social R&D is rapidly gaining popularity among a diversified array of organizations. This article distills the findings of a mix-methods exploratory study and offers a typology of four different Social R&D conceptualizations and practices. An analysis of the literature and of the empirical findings indicates a general lack of shared understanding about what Social R&D entails as a concept or a process. Further precision of meaning is needed to judge of Social R&D’s specific value or to responsibly support its implementation through policy.","['Trent University', 'Employment and Social Development Canada', 'Université McGill']",['Canada'],"['Goulet-Langlois M.', 'Pearman J.', 'Nichols N.']","['Nonprofit', 'prototyping', 'Research & development', 'Social innovation', 'Social R&D']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,0,58.0,2021
What Constitutes a New Nonprofit? Investigating Nonprofit Organizational Founding Dates Qu'est-ce qui constitue une nouvelle organisation à but non lucratif ? Enquêter sur les dates de fondation d'une organisation à but non lucratif,"© 2021, University of Alberta Library. All rights reserved.The question of when a new nonprofit is founded has not been pursued with sufficient precision. Specifically, a fundamental challenge facing any nonprofit researcher planning to detect, isolate, and analyze new nonprofits is that nonprofit founding is a process, not a discrete event. This study uses administrative data that includes three different founding indicators from more than 4,000 arts organizations, supplemented with survey data from 242 organizations, to illustrate some of the problems inherent in treating the founding process as one discrete event. It also elevates the voices of founders to demonstrate their conceptualization of the concept and offer insights into the multidimensionality of founding.",['Indiana University-Purdue University Indianapolis'],['United States'],"['Andersson F.O.', 'Daniel J.L.']","['Entrepreneurship', 'Founding', 'Nonprofit', 'Organization life cycle']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,2,37.0,2021
Educating for democratic citizenship through social innovation: The ideal of social entrepreneurship reassessed Éduquer à la citoyenneté démocratique par l’innovation sociale: l’idéal de l’entrepreneuriat social remis en question,"© 2021, University of Alberta Library. All rights reserved.The concepts of entrepreneurship and citizenship intersect more and more in the educational projects of social entrepreneurship. In this article, we have analyzed an experiment conducted by a nonprofit organization whose mission is to increase citizen participation. We are interested in the discourses and tools that it has mobilized for training in social entrepreneurship. Our objective is to uncover the norms and values underlying the conception of citizenship transmitted through the training. We show that there are tensions between the aims of democratic citizenship promoted by the organization and the concept of the citizen that underlies training in social entrepreneurship. Our contribution is twofold: 1) We enrich the literature on education for democratic citizenship by analyzing a new approach, that of education in social entrepreneurship; 2) We take a critical look at the concept of social entrepreneurship when it is used in training for democratic citizenship by analyzing this practice and framing it within the field of social innovation.","['HEC Montréal', 'University of Ottawa']",['Canada'],"['Gaudet S.', 'Fuca J.', 'Drapeau E.', 'Mailhot C.']","['Democratic citizenship', 'Education in social entrepreneurship', 'Social innovation']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,1,46.0,2021
Educating young people in “collective entrepreneurship”: challenges and tensions at the heart of cooperatives for the initiation of collective entrepreneurship in Quebec L’éducation des jeunes à l’« entrepreneuriat collectif »: défis et tensions au cœur des Coopératives d’initiation à l’entrepreneuriat collectif au Québec,"© 2021, University of Alberta Library. All rights reserved.This article focuses on the Coopératives d’initiation à l’entrepreneuriat collectif (CIEC), youth service cooperatives in Quebec that aim at educating young people in cooperative entrepreneurship. Basing ourselves on a qualitative design involving non-participant observation and semi-structured interviews with CIEC coordinators, we explore the conceptions of cooperative entrepreneurship promoted by the coordinators and the experiential learning outcomes that they aim for. The results suggest that the multiple objectives embraced by the CIEC project (giving young people a first working ex-perience, fostering in them an entrepreneurship mindset, introducing them to cooperatives, and educating them about the social and solidarity economy) run the risk of diluting the project’s learning impacts.",['HEC Montréal'],['Canada'],"['Codello P.', 'Mesny A.', 'Ziani M.']","['Cooperative entrepreneurship', 'Education in the social and solidarity eco-nomy (SSE)', 'Experiential learning']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,0,29.0,2021
Toward Greater Transparency Regarding Cross-Sector Partnerships for Technology Development,"© 2021, University of Alberta Library. All rights reserved.This article explores the problems and potential of funded short-term cross-sector partnerships to address technological deficits in the nonprofit sector by engaging with the partners of a concluded project. The partnership case study that forms the backbone of this article was a three-year nationally funded nonprofit-industry-academic partnership. The objective of the partnership was to increase the data collection capacity of a national nonprofit organization and its affiliate centres through the development of a web-based app. This article highlights the challenges and differing experiences of nonprofit-industry-academic partnerships more generally, and technology-development partnerships more specifically.","['St. Francis Xavier University', 'Carleton University', 'Glasgow Caledonian University']","['United Kingdom', 'Canada']","['Todd S.L.', 'Occhiuto K.', 'Wilson T.', 'Garrod J.Z.']","['Cross-sector partnerships', 'Nonprofit technology', 'Nonprofit-industry-academic partnerships', 'Technology-development partnerships']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,0,54.0,2021
Responding to Business Succession Issues and Crises by Converting to Cooperatives: Canadian Realities and Possibilities,"© 2021, University of Alberta Library. All rights reserved.Most of Canada’s 1.2 million small-and medium-sized enterprises (SMEs) have been affected by the pandemic, com-pounding serious issues facing Canada’s economy, including the potential for large-scale business closures due to the growing number of retirement-aged owners without a formal succession plan. One social economy option in Canada to save businesses and the jobs they provide is to sell them to employees or community members and convert them to co-operatives. The Conversion to Co-operatives Project set out to better understand business conversion to cooperatives (BCCs) in Canada and help the country’s co-op movement build BCC capacity. This article outlines the project’s key findings to date.",['University of Toronto'],['Canada'],['Vieta M.'],"['Business conversion to cooperatives', 'Business crisis', 'Canada', 'COVID-19', 'Small-and medium-sized enterprises', 'Social economy organizations', 'Succession']",Canadian Journal of Nonprofit and Social Economy Research,University of Alberta Library,"['Sociology and Political Science', 'Social Sciences (miscellaneous)']",['SOCI'],Article,1,45.0,2021
Designing pension communication Lessons from the medical domain,"© 2022 John Benjamins Publishing Company.Pension participants face complex decisions which require them to choose between multiple alternatives that have different consequences, that vary in likelihood, and that often relate to different values. In the medical domain, ample research has been conducted on how to support patients in making such decisions, yielding three important lessons. First, by emphasizing the gist of information, the information becomes more meaningful to participants. Second, value clarification methods should be used to help participants retrieve or form their own values and compare those with the decision alternatives. Third, simple static visual aids facilitate the comprehension of statistics and probabilities.",['Universiteit Utrecht'],['Netherlands'],"['Hoeken H.', 'Holleman B.', 'Strikwerda J.']",,Information Design Journal,John Benjamins Publishing Company,['Library and Information Sciences'],['SOCI'],Article,1,35.0,2022
Guest Editors' Words,"© 2022 Journal of Integrated Circuits and System.This Special Issues brings four invited papers that describe the state of the art techniques to improve fault tolerance on complex designs. Integrated circuits operating under radiation can experience undesirable faults that must be evaluated and mitigated. Mitigation can be implemented by redundancy in hardware or in software, and by selecting and protecting the most critical parts of the system. Radiation effects test and analysis also play an important step in identifying the criticality of the system and helping designers to better apply fault mitigation techniques.","[""Universitat d'Alacant"", 'Universidade Federal do Rio Grande do Sul']","['Brazil', 'Spain']","['Asensi S.C.', 'Kastensmidt F.L.']","['Fault tolerance', 'Mitigation techniques', 'Qualification of integrated circuits', 'Radiation effects', 'Radiation testing', 'Reliability']",Journal of Integrated Circuits and Systems,Brazilian Microelectronics Society,['Electrical and Electronic Engineering'],['ENGI'],Editorial,0,,2022
"Facies Analysis and Paleoenvironmental Assessment of the Upper Campanian Hartha Formation in Y and J Fields Northwestern Zagros Basin, Iraq","© 2021, Union of Iraqi Geologists. All rights reserved.The Upper Campanian Hartha Formation represents potential Cretaceous hydrocarbon-bearing reservoir rocks across the Y and J oilfields northwestern Zagros Basin, northern Iraq. The study objective is depositional environment which affects reservoir properties by tool, lithofacies, core, thin section, and logs, using petrel (V.2016) and strat software, facies distribution, grains, and diagenetic processes control and enhance reservoir properties which can plan platform production and minimize risks in choosing production wells location at two fields scale The current study is concerned with lithofacies and microfacies of the Hartha Formation within two fields in northern Iraq. Several subsurface well-log data, core, and cutting samples have been used in order to prepare thin sections that were subjected to sedimentological (lithofacies, and grain-size) examination. The petrography investigation revealed five rock-units including Hr. 1, 2, 3, 4, and 5, the thickness of 89 m in the Y-A field and increasing to up to 140 m in the J-B field might be due to erosion or tectonic uplift of the topography in Y subbasin. Which is locally sub-basin within study fields western banks of Tigris river as gentle slope ramp depositional condition with Spectrum microfacies from lime-mudstone to packstone texture with rudest and benthic debris enhances by diagenesis, dolomitization, dissolution moldic porosity, fracture; dolostone is more effective in the upper section of the formation in A than B Wells. Many factors, such as cementation, compaction, and pore-filling autogenic minerals, decrease reservoir quality, and their effects are similar in wells A and B.","[""Imam Ja'afar Al-Sadiq University"", 'University of Baghdad', 'Ministry of Oil, Republic of Iraq']",['Iraq'],"['Al-Hadidy A.H.', 'Nooralddin A.K.', 'Nasser M.E.']","['Bioclastic packstone', 'Hartha Formation', 'Ramp depositional condition', 'Rudest debris', 'Upper Campanian']",Iraqi Geological Journal,Union of Iraqi Geologists,['Geology'],['EART'],Article,0,22.0,2021
The role of immune mediators in pathogenesis of hepatitis B virus infection,"© 2021, Indian Association of Biomedical Scientists. All rights reserved.Introduction and Aim: Viral hepatitis, is considered a major cause of cirrhosis and liver transplantation, both of which are life-threatening conditions. In comparison to Hepatitis C virus infection, Hepatitis B virus (HBV) infection has a lower rate of chronicity. The purpose of this study is to assess the immunological particles CD2 and CD4, as well as the cytokines IL-10, in HBV-infected patients. Materials and Methods: Between April and June 2021, a case-control study was conducted on 180 female subjects with a mean age of 35 years who visited a private clinic in Mosul city. A (10 ml) sample of blood was collected from each subject by routine venipuncture technique, and the blood sample was centrifuged at 3,000 rpm for 10 minutes to separate the plasma, which was used for further investigations. The ELISA test was used to determine the sizes of cytokines in the serum (R&D Systems). A microplate reader was used to limit absorbance in copies (Beckman Coulter). The last concentration was measured in pg/ml. Results: The findings of this study revealed that (15%) of cases had clinical symptoms of HBV, while (70%) of cases were asymptomatic, and (5%) of cases progressed to chronic liver disease. In compared to healthy control groups, HBV patients had highly significant variations in mean CD 2 and CD 4 expression (p<0.0001). Conclusion: During the acute phase of hepatitis, the immune system successfully fights off the infection; however, differences in immune responses to different viruses may explain the tendency for acute infection to resolve rather than develop to chronic infection. Hepatitis viruses employ a variety of tactics to evade human immunity. To fully comprehend the complicated interplay between immunological mediators and HBV infection, more research is needed.",['Ninevah University'],['Iraq'],['Abdul-Qaderkhuder H.'],"['Cytokines', 'Hepatitis B virus', 'Interferons', 'Interleukin']",Biomedicine (India),Indian Association of Biomedical Scientists,"['Biochemistry, Genetics and Molecular Biology (all)']",['BIOC'],Article,0,25.0,2021
MYRINGOTOMY FOR THE TREATMENT OF OTITIS MEDIA WITH EFFUSION; A COMPARISON IN THE OUTCOME WITH AND WITHOUT GROMMET INSERTION,"© 2021, Army Medical College. All rights reserved.Objective: To compare the outcome of myringotomy with and without grommet insertion in the patients of otitis media with effusion in terms of improvement of hearing in a one-month follow-up. Study Design: Quasi experimental study. Place and Duration of Study: Pakistan Airforce Hospital Jacobabad and Combined Military Hospital Lahore Pakistan, from Jan to Dec 2020. Methodology: A total of 28 patients aged 4-12 years diagnosed to have conductive hearing loss due to otitis media with effusion not responding to medical treatment were included. Non probability convenience sampling was done. Children aged less than 4 years and above 12 years were not included in the study. They were randomly divided into two groups of 14 patients each using lottery method. Group A underwent myringotomy alone whereas group B underwent myringotomy with grommet insertion. Patients in both groups also underwent adenoidectomy on case-to-case basis. Both groups were compared in terms of improvement in hearing post operatively in a one-month follow-up. Results: There was statistically significant reduction in air bone gap at the end of follow up period as compared to pre-operative air bone gap in group B (p=0.007). In group A there was statistically significant reduction in air bone gap at one week (p=0.002) however this improvement was not maintained at 4 weeks (p=0.386). Conclusion: Myringotomy with grommet insertion had significantly more patients with improved hearing as compared to myringotomy alone after one month.","['PAF Hospital', 'National University of Medical Sciences']",['Pakistan'],"['Najam A.', 'Niazi M.S.B.', 'Gul U.', 'Jawaid A.', 'Akhtar S.', 'Azam K.']","['Adenoidectomy', 'Eustachian tube', 'Hearing loss conductive', 'Middle ear ventilation', 'Otitis Media with effusion.']",Pakistan Armed Forces Medical Journal,Army Medical College,"['Medicine (miscellaneous)', 'Health Professions (miscellaneous)', 'Public Health, Environmental and Occupational Health']","['MEDI', 'HEAL']",Article,0,20.0,2021
ANOSMIA AND AGEUSIA IN PATIENTS WITH COVID-19,"© 2021, Army Medical College. All rights reserved.Objective: To evaluate the prevalence and diagnostic significance of anosmia and ageusia among COVID-19 positive patients of Karachi, Pakistan. Study Design: Cross-sectional study. Place and Duration of Study: Dr Ruth K. M. Pfau Civil Hospital, (Dow University of Health Sciences), Karachi Pakistan, from Jan 2021 to Feb 2021. Methodology: The data were collected prospectively from 265 COVID-19 positive patients. Some patients were interviewed over the telephone, while for patient's ease, an online Google form was also formed, facilitating the online data collection. The patient's demographics, comorbidities, allergies, and COVID-19 associated characteristics were inquired. The statistical analysis was performed on SPSS version 23. Results: The observed frequency of anosmia and ageusia in COVID-19 patients was 49.1% & 43.8% respectively. The median time to recovery was 8-8.5 days (median) for both symptoms. We found no significant difference for gender, BMI, marital status, residential area, comorbidities and reason for long-standing breathing difficulties between patients with or without both anosmia and ageusia (p>0.05). Furthermore, most of the cigarette smokers reported none of the two symptoms (anosmia and ageusia), 24% and 25.2% of COVID-19 positive cases with smoking history were presented without anosmia and ageusia, respectively (p<0.05). Conclusion: Loss of sense of smell and taste was reported in almost half of the studied population infected by the SARS-CoV-2 virus. Therefore, screening for anosmia and ageusia must be considered while COVID-19 suspicion as an important diagnostic clue.","['Dow University of Health Sciences Pakistan', 'Liaquat College of Medicine and Dentistry', ""King's College London""]","['United Kingdom', 'Pakistan']","['Shaikh I.A.', 'Abbas T.G.', 'Zaidi S.H.A.', 'Farrukh M.S.', 'Kamal J.', 'Soomro A.B.', 'Siddiqui A.H.', 'Danish-Ur-rahim']","['Ageusia', 'Anosmia', 'COVID-19', 'Smell', 'Taste']",Pakistan Armed Forces Medical Journal,Army Medical College,"['Medicine (miscellaneous)', 'Health Professions (miscellaneous)', 'Public Health, Environmental and Occupational Health']","['MEDI', 'HEAL']",Article,0,18.0,2021
Definition and Classification of Bioceramic Endodontic Sealers,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.INTRODUCTION: The term ""bioceramic"" is used in endodontics to describe various products and is often used in general terms for mineral trioxide aggregate (MTA) and other hydroscopic dental cements (HDC), which creates confusion in the terminology. AIM: The aim of the study is to present a definition and an original classification of bioceramic endodontic sealers. MATERIALS AND METHODS: A total of 123 articles were found by the PubMed search engine using the key phrase ""bioceramic endodontic sealers"". Of these 123 articles, we analyzed 20 articles that contain information about the composition, properties, definition, and classification of bioceramic endodontic sealers. RESULTS: In accordance with the collected data on the composition and the delivery form of calcium silicate endodontic sealers, we propose a new definition of bioceramic endodontic sealers that clarifies the specificities of these materials. In the new classification they are divided by two criteria: source of calcium silicate and form of delivery. It also contains the particular products' names in order to aid their usage in the clinical practice. Conclusions: The new definition of bioceramic endodontic sealers clears out the confusion in the terminology, which promotes the classification of these products and helps understanding their clinical application.",['Medical University of Plovdiv'],['Bulgaria'],"['Stefanova V.P.', 'Zhekov K.I.']","['bioceramic endodontic sealers', 'calcium silicate', 'classification', 'definition']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,2,,1961
Melatonin and Epilepsy,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.Epilepsy is a chronic neurological disease with recurrent seizures. Its incidence, the social and psychological aspects of epilepsy-associated stigmatization in society, the medical risk of severe seizures, and the challenges in treatment confirm its medical and social significance. The pathogenesis of the diseases is associated with abnormal activity of a population of neurons due to various mechanisms, the most frequent being oxidative stress, glutamate excitotoxicity, and mitochondrial dysfunction. In the last 3-4 decades, the possible connection between epilepsy and melatonin - a neurohormone secreted by the pineal gland - has been sought and studied. Various physiological functions of melatonin in humans have been proven - regulation of circadian rhythms (diurnal, seasonal), sleep and wakefulness, participation in the processes of thermoregulation, tumour growth and aging, sexual activity and reproductive functions. It also has immunomodulatory, cytoprotective and antioxidant activity. The results from the studies with experimental models with animals conducted so far in search of a correlation between melatonin and epileptogenesis are mainly in support of the hypothesis of its anticonvulsant effect. The studies with humans are diverse in design, with a smaller number of participants, and the results are not always in explicit support of this hypothesis. The correlation between melatonin concentration and the course of the disease in patients with epilepsy has been discussed. The possibility of adding melatonin to anti-epileptic therapy has also been studied recently.",['Medical University of Plovdiv'],['Bulgaria'],['Vasileva Z.'],"['anticonvulsant', 'antioxidant', 'melatonin serum concentration', 'neuroprotective', 'seizures']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,1,,1961
Shear Bond Strength of Self-Adhesive Composite Containing TiO2 and SiO2 Nanoparticles with an Additional Etching Step for Orthodontic Brackets Bonding to Enamel,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.INTRODUCTION: Recently, nanoparticles such as nano-TiO2 have been added to some dental materials for enhancing dental carries prevention due to their antibacterial activity. AIM: This study aimed to assess the shear bond strength of a self-adhesive composite containing TiO2 and SiO2 nanoparticles for orthodontic bracket bonding. MATERIALS AND METHODS: This in vitro, experimental study was done on 70 extracted human premolars divided into 7 groups. Six groups of Vertise Flow self-adhesive composite samples were prepared: without any nanoparticles, with 0.5% and 1% TiO2 nanoparticles, 0.5% and 1% SiO2 nanoparticles, and 1% mixture of TiO2 and SiO2 nanoparticles so that nano-hybrid composites were prepared. Metal brackets were bonded with these samples as well as Transbond XT as the control group. The shear bond strength of the brackets to enamel was measured using a universal testing machine. The adhesive remnant index (ARI) score was also determined by a stereomicroscope. Data were analyzed by one-way ANOVA, Tukey's test and Kruskal-Wallis test. RESULTS: The shear bond strength of the groups was significantly different (p=0.000). Pairwise comparisons revealed that the bond strength of Transbond XT group was significantly higher than others (p<0.05), followed by the 1% TiO2 group with significant differences with Vertise Flow and 0.5% TiO2 groups. The lowest value belonged to Vertise Flow with no nanoparticles. The ARI scores was different in the control group (p=0.000). CONCLUSIONS: Adding TiO2 and SiO2 nanoparticles to Vertise Flow self-adhesive composite not only did not adversely affect its shear bond strength, but also slightly increased it. Overall, the self-adhesive nano-hybrid composite containing TiO2 and/or SiO2 nanoparticles, following an additional etching step would be acceptable for bracket bonding and can be used clinically to benefit from the antimicrobial activity of these nanoparticles.","['Radiation Application Research School', 'Tehran University of Medical Sciences', 'Dentist']",['Iran'],"['Saffarpour A.', 'Saffar Shahroudi A.', 'Sodagar A.', 'Akhavan A.', 'Nikpour S.']","['nanoparticles', 'orthodontic brackets', 'self-adhesive composite', 'shear bond strength', 'TiO2-SiO2']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,1,,1961
Weight Gain after Treatment of Thyroid Dysfunction and Thyroid Surgery,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.Thyroid surgery is generally recommended for malignant conditions and for some benign thyroid disorders. Many patients report weight gain after thyroidectomy especially during the first months following surgery. Studies on patients with Graves' disease treated either with antithyroid drugs or radioiodine confirm that these patients frequently gain weight after restoration of thyroid function. Other studies have also shown that there is considerable weight gain after thyroidectomy for both nodular goiter and thyroid cancer. Transient hypothyroidism during the postoperative period is often thought to be associated with weight gain after thyroidectomy. The role of a number of adipocytokines and their interaction with the thyroid function has been investigated in the pathogenesis of weight changes. Levothyroxine replacement or suppressive therapy after thyroidectomy has a different impact on the metabolic parameters independent of TSH levels. The long-term effects of the impaired T3/T4 ratio are not fully understood as there are no sensitive markers to assess the biological response of target organs and tissues. Future studies are needed to identify such parameters, provide new considerations for the treatment of patients after total thyroidectomy, and help determine individual target hormone levels to ensure a sustained euthyroid state.",['Medical University of Plovdiv Faculty of Medicine'],['Bulgaria'],"['Nonchev B.', 'Argatska A.']","['Graves’ disease', 'levothyroxine', 'thyroid-stimulating hormone', 'thyroidectomy', 'weight gain']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,0,,1961
A Comparative Study on Intranasal Versus Intravenous Lorazepam in the Management of Acute Seizure in Children,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.INTRODUCTION: The acute seizure in childhood is a medical emergency which is usually managed by benzodiazepines used as a first line of therapy. There are no strict guidelines of using intranasal lorazepam in India. Many paediatricians use it in an emergency situation as it is inexpensive, easy to administer and even treatment can be started at home. Very few studies are available to compare efficacy and safety of intravenous lorazepam with intranasal lorazepam in childhood seizure, though both routes have comparable pharmacokinetic profile. Intravenous lorazepam (0.1 mg/kg) is already recommended as a first-line treatment of acute childhood seizures in India. There are very few studies regarding the usefulness of intranasal lorazepam. With this background, we compared intranasal lorazepam with the more widely accepted intravenous lorazepam for control of acute seizure. AIM: To compare effectiveness and safety of intranasal and intravenous lorazepam in acute seizure in children aged 5-12 years. MATERIALS AND METHODS: This is an analytical observational cross-sectional study involving patients with acute seizure who received lorazepam via either the intravenous or intranasal route. Formulation and dosage of lorazepam were the same in both routes. RESULTS: Distributions of patient groups according to sex, age, and weight were statistically not significant (p=0.42, p=0.391, and p=0.605, respectively). Time to control seizure within 10 min and persistent cessation of seizure activity were similar in both groups. Safety parameters showed no differences statistically. CONCLUSIONS: Though intravenous lorazepam is recommended as first-line treatment, intranasal lorazepam may be a good alternative choice in a convulsing child.","['Raiganj Government Medical College and Hospital', 'Burdwan Medical College &amp; Hospital', 'Kalna Subdivisional &amp; Superspeciality Hospital']",['India'],"['Ghosh T.', 'Rudra N.', 'Roy U.K.']","['children', 'efficacy', 'intranasal', 'intravenous', 'lorazepam', 'seizure']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,2,,1961
Total Oral Rehabilitation with Dental Implants in an Elderly Patient with Concomitant Diseases: a Case Report,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.We report a case of restoration of the masticatory and phonetic functions of a senior patient with comorbidities who receives systemic medication and lacks sufficient bone volume for implant placement in the accurate position. X-ray shows severe asymmetric atrophy of the mandible, especially on the right sight, which affects the location of the mandibular canal. This greatly limits and complicates the restoration of the masticatory and phonetic functions with conventional prostheses. Adequate management of medication and long-term disease control of the patient allow safe surgery for tooth extraction and placement of intraosseous implants in the jaw bones.",['Medical University of Sofia'],['Bulgaria'],"['Deliverska-Aleksandrova E.G.', 'Naydenov A.V.', 'Chapanov K.I.']","['concomitant diseases', 'dental implants', 'hydrophilic', 'oral rehabilitation']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,0,,1961
Liquid Biopsy - Possibilities for Monitoring the Therapeutic Response in Non-Small Cell Lung Cancer,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.Lung cancer is the leading cause of death from malignancy worldwide. Its heterogeneity and tumour biology make treatment considerably more difficult. The introduction of target molecules heralded the beginning of the personalized medicine which tailors medical treatments to the molecular and genetic profile of a patient. Liquid biopsy is an innovative, non-invasive method which is used both for diagnostic purposes and for therapeutic monitoring. Liquid biopsy has the potential to help manage non-small cell lung cancer throughout all stages of this cancer: screening, detection of minimal residual disease to guide adjuvant treatment, early detection of relapse, systemic treatment initiation, monitoring of response to targeted or immune therapy, and the emergence of resistance to applied treatment. At present, the study of circulating tumour DNA is used in clinical practice, but circulating tumour cells, miRNAs, exosomes, and platelets formed in the tumour also show promising results.",['Medical University of Plovdiv Faculty of Medicine'],['Bulgaria'],"['Grudeva-Popova Z.G.', 'Raycheva G.A.', 'Ivanov H.Y.']","['cfDNA/ctDNA', 'genomic profiling', 'personalized medicine']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,0,,1961
Efficacy of Bioelectrical Impedance Analysis for the Evaluation of Physical Impairment in Chronic Low Back Pain. Results from a Cohort Study,"This is an open access article distributed under the terms of the Creative Commons Attribution License (CC BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.INTRODUCTION: Determining the effect of body composition on chronic low back pain seems to have the potential to improve our understanding of its mechanism and to develop novel preventive and therapeutic approaches. Aim: The purpose of the present study was to assess by electrical impedance the composition of lower extremities of individuals with chronic low back pain. MATERIALS AND METHODS: One hundred and twenty-one adult participants with diagnosed chronic low back pain were recruited in this study. The study activities were divided into three phases: phase 1 - self-administered questionnaires, phase 2 - biomedical examination (including anthropometric measurements and physical function performance tests), and phase 3 - bioimpedance analysis. RESULTS: Our results showed that chronic low back pain differentiates the circumference of thigh and calf of the symptomatic leg. Besides, patients experience pain also in hip, thigh, and calf, which act as a barrier to patient's personal, professional, social, and recreational activities. Furthermore, patients appear with 'unstable' walking, reduced balance, and reduced general physical condition that affect all of the neuromuscular structures of the locomotor system. Interestingly, patients seem to be characterized by a tendency to deposit fat and to decrease muscle mass in the symptomatic limb regardless of the gender. CONCLUSIONS: In the present study, we determine the profile of a patient with chronic low back pain through a variety of measurements. Chronic low back pain causes several structural changes to the symptomatic leg of the patients leading to 'unstable' walking, reduced balance, and reduced general physical condition. It is clear that further studies using bioimpedance analysis are needed to address the concerns raised by investigating a multifactorial condition such as chronic low back pain.",['Democritus University of Thrace'],['Greece'],"['Tilkeridis K.', 'Drosos G.', 'Karaglani M.', 'Chatzipapas C.', 'Ververidis A.', 'Kechagias D.']","['bioimpedance analysis', 'body composition', 'low back pain']",Folia medica,NLM (Medline),['Medicine (all)'],['MEDI'],Article,0,,1961
